name,project,sector,blockchain,category,capped,year,month,type,common_type,share
ADMC,Adamant Mine,gaming,[<Blockchain.BSC: 'Binance Smart Chain'>],[<Category.GOV: 'Governance'>],True,2021,0,Game & Rewards,ecosystem incentives,0.64
ADMC,Adamant Mine,gaming,[<Blockchain.BSC: 'Binance Smart Chain'>],[<Category.GOV: 'Governance'>],True,2021,0,Airdrop & Beta,airdrop,0.02
ADMC,Adamant Mine,gaming,[<Blockchain.BSC: 'Binance Smart Chain'>],[<Category.GOV: 'Governance'>],True,2021,0,Private Sale,investors,0.02
ADMC,Adamant Mine,gaming,[<Blockchain.BSC: 'Binance Smart Chain'>],[<Category.GOV: 'Governance'>],True,2021,0,Devs & Marketing,team,0.1
ADMC,Adamant Mine,gaming,[<Blockchain.BSC: 'Binance Smart Chain'>],[<Category.GOV: 'Governance'>],True,2021,0,P2PB2B,ecosystem incentives,0.04
ADMC,Adamant Mine,gaming,[<Blockchain.BSC: 'Binance Smart Chain'>],[<Category.GOV: 'Governance'>],True,2021,0,"IDO, Liquidity, Listings",public sale,0.18
AMP,AMP,defi,[<Blockchain.ETH: 'Ethereum'>],[<Category.PAYMENT: 'Payment'>],True,2020,0,Network Development Fund,treasury,0.1
AMP,AMP,defi,[<Blockchain.ETH: 'Ethereum'>],[<Category.PAYMENT: 'Payment'>],True,2020,0,Token Sales,investors,0.2
AMP,AMP,defi,[<Blockchain.ETH: 'Ethereum'>],[<Category.PAYMENT: 'Payment'>],True,2020,0,Founding Team and Employee Pool,team,0.2
AMP,AMP,defi,[<Blockchain.ETH: 'Ethereum'>],[<Category.PAYMENT: 'Payment'>],True,2020,0,Developer Grants,ecosystem incentives,0.25
AMP,AMP,defi,[<Blockchain.ETH: 'Ethereum'>],[<Category.PAYMENT: 'Payment'>],True,2020,0,Merchant Developer Funf,ecosystem incentives,0.25
AMPL,Ampleforth,defi,"[<Blockchain.ETH: 'Ethereum'>, <Blockchain.AVAX: 'Avalanche'>, <Blockchain.BSC: 'Binance Smart Chain'>, <Blockchain.ONE: 'Harmony'>]",[<Category.PAYMENT: 'Payment'>],False,2019,46,Ecosystem,ecosystem incentives,0.232
AMPL,Ampleforth,defi,"[<Blockchain.ETH: 'Ethereum'>, <Blockchain.AVAX: 'Avalanche'>, <Blockchain.BSC: 'Binance Smart Chain'>, <Blockchain.ONE: 'Harmony'>]",[<Category.PAYMENT: 'Payment'>],False,2019,46,Seed Investors,investors,0.185
AMPL,Ampleforth,defi,"[<Blockchain.ETH: 'Ethereum'>, <Blockchain.AVAX: 'Avalanche'>, <Blockchain.BSC: 'Binance Smart Chain'>, <Blockchain.ONE: 'Harmony'>]",[<Category.PAYMENT: 'Payment'>],False,2019,46,Series A Investors,investors,0.033
AMPL,Ampleforth,defi,"[<Blockchain.ETH: 'Ethereum'>, <Blockchain.AVAX: 'Avalanche'>, <Blockchain.BSC: 'Binance Smart Chain'>, <Blockchain.ONE: 'Harmony'>]",[<Category.PAYMENT: 'Payment'>],False,2019,46,IEO,public sale,0.1
AMPL,Ampleforth,defi,"[<Blockchain.ETH: 'Ethereum'>, <Blockchain.AVAX: 'Avalanche'>, <Blockchain.BSC: 'Binance Smart Chain'>, <Blockchain.ONE: 'Harmony'>]",[<Category.PAYMENT: 'Payment'>],False,2019,46,Team & Advisors,team,0.25
AMPL,Ampleforth,defi,"[<Blockchain.ETH: 'Ethereum'>, <Blockchain.AVAX: 'Avalanche'>, <Blockchain.BSC: 'Binance Smart Chain'>, <Blockchain.ONE: 'Harmony'>]",[<Category.PAYMENT: 'Payment'>],False,2019,46,Treasury,treasury,0.2
ANC,Anchor Protocol,defi,[<Blockchain.TERRA: 'Terra'>],"[<Category.GOV: 'Governance'>, <Category.DIVIDEND: 'Dividend'>]",True,2021,0,Luna staking airdrop,airdrop,0.05
ANC,Anchor Protocol,defi,[<Blockchain.TERRA: 'Terra'>],"[<Category.GOV: 'Governance'>, <Category.DIVIDEND: 'Dividend'>]",True,2021,0,Community Fund,treasury,0.1
ANC,Anchor Protocol,defi,[<Blockchain.TERRA: 'Terra'>],"[<Category.GOV: 'Governance'>, <Category.DIVIDEND: 'Dividend'>]",True,2021,48,Luna staking airdrop,airdrop,0.05
ANC,Anchor Protocol,defi,[<Blockchain.TERRA: 'Terra'>],"[<Category.GOV: 'Governance'>, <Category.DIVIDEND: 'Dividend'>]",True,2021,48,Community Fund,treasury,0.1
ANC,Anchor Protocol,defi,[<Blockchain.TERRA: 'Terra'>],"[<Category.GOV: 'Governance'>, <Category.DIVIDEND: 'Dividend'>]",True,2021,48,Investors,investors,0.2
ANC,Anchor Protocol,defi,[<Blockchain.TERRA: 'Terra'>],"[<Category.GOV: 'Governance'>, <Category.DIVIDEND: 'Dividend'>]",True,2021,48,Team,team,0.1
ANC,Anchor Protocol,defi,[<Blockchain.TERRA: 'Terra'>],"[<Category.GOV: 'Governance'>, <Category.DIVIDEND: 'Dividend'>]",True,2021,48,Luna staking rewards,ecosystem incentives,0.1
ANC,Anchor Protocol,defi,[<Blockchain.TERRA: 'Terra'>],"[<Category.GOV: 'Governance'>, <Category.DIVIDEND: 'Dividend'>]",True,2021,48,Borrower incentives,ecosystem incentives,0.4
ANC,Anchor Protocol,defi,[<Blockchain.TERRA: 'Terra'>],"[<Category.GOV: 'Governance'>, <Category.DIVIDEND: 'Dividend'>]",True,2021,48,ANC LP,ecosystem incentives,0.05
AOT,Age of Tanks,gaming,[<Blockchain.BSC: 'Binance Smart Chain'>],[<Category.GOV: 'Governance'>],True,2021,0,Reserve,treasury,0.1
AOT,Age of Tanks,gaming,[<Blockchain.BSC: 'Binance Smart Chain'>],[<Category.GOV: 'Governance'>],True,2021,0,Seed Fund,investors,0.02
AOT,Age of Tanks,gaming,[<Blockchain.BSC: 'Binance Smart Chain'>],[<Category.GOV: 'Governance'>],True,2021,0,Strategic Fund,investors,0.06
AOT,Age of Tanks,gaming,[<Blockchain.BSC: 'Binance Smart Chain'>],[<Category.GOV: 'Governance'>],True,2021,0,IDO,public sale,0.02
AOT,Age of Tanks,gaming,[<Blockchain.BSC: 'Binance Smart Chain'>],[<Category.GOV: 'Governance'>],True,2021,0,Marketing,ecosystem incentives,0.05
AOT,Age of Tanks,gaming,[<Blockchain.BSC: 'Binance Smart Chain'>],[<Category.GOV: 'Governance'>],True,2021,0,Public Sales,public sale,0.1
AOT,Age of Tanks,gaming,[<Blockchain.BSC: 'Binance Smart Chain'>],[<Category.GOV: 'Governance'>],True,2021,0,Initial Liquidity,treasury,0.1
AOT,Age of Tanks,gaming,[<Blockchain.BSC: 'Binance Smart Chain'>],[<Category.GOV: 'Governance'>],True,2021,0,Partners & Advisors,advisors,0.1
AOT,Age of Tanks,gaming,[<Blockchain.BSC: 'Binance Smart Chain'>],[<Category.GOV: 'Governance'>],True,2021,0,Core Team,team,0.1
AOT,Age of Tanks,gaming,[<Blockchain.BSC: 'Binance Smart Chain'>],[<Category.GOV: 'Governance'>],True,2021,0,Gameplay Incentives,ecosystem incentives,0.2
AOT,Age of Tanks,gaming,[<Blockchain.BSC: 'Binance Smart Chain'>],[<Category.GOV: 'Governance'>],True,2021,0,Game Development,ecosystem incentives,0.15
ATLAS,Star Atlas,gaming,[<Blockchain.SOL: 'Solana'>],[<Category.PAYMENT: 'Payment'>],False,2021,0,Public Token Sales,public sale,0.02
ATLAS,Star Atlas,gaming,[<Blockchain.SOL: 'Solana'>],[<Category.PAYMENT: 'Payment'>],False,2021,0,Listings/Liquidity Pools,ecosystem incentives,0.04
ATLAS,Star Atlas,gaming,[<Blockchain.SOL: 'Solana'>],[<Category.PAYMENT: 'Payment'>],False,2021,96,Private Token Sales,investors,0.225
ATLAS,Star Atlas,gaming,[<Blockchain.SOL: 'Solana'>],[<Category.PAYMENT: 'Payment'>],False,2021,96,Public Pre-Sale,public sale,0.015
ATLAS,Star Atlas,gaming,[<Blockchain.SOL: 'Solana'>],[<Category.PAYMENT: 'Payment'>],False,2021,96,Public Token Sales,public sale,0.02
ATLAS,Star Atlas,gaming,[<Blockchain.SOL: 'Solana'>],[<Category.PAYMENT: 'Payment'>],False,2021,96,Listings/Liquidity Pools,ecosystem incentives,0.04
ATLAS,Star Atlas,gaming,[<Blockchain.SOL: 'Solana'>],[<Category.PAYMENT: 'Payment'>],False,2021,96,Rewards/Emission,ecosystem incentives,0.65
ATLAS,Star Atlas,gaming,[<Blockchain.SOL: 'Solana'>],[<Category.PAYMENT: 'Payment'>],False,2021,96,Team,team,0.05
AXS,Axie Infinity,gaming,"[<Blockchain.ETH: 'Ethereum'>, <Blockchain.BSC: 'Binance Smart Chain'>, <Blockchain.ONE: 'Harmony'>, <Blockchain.RONIN: 'Ronin'>]","[<Category.GOV: 'Governance'>, <Category.PAYMENT: 'Payment'>]",True,2020,0,Private Sale,investors,0.008
AXS,Axie Infinity,gaming,"[<Blockchain.ETH: 'Ethereum'>, <Blockchain.BSC: 'Binance Smart Chain'>, <Blockchain.ONE: 'Harmony'>, <Blockchain.RONIN: 'Ronin'>]","[<Category.GOV: 'Governance'>, <Category.PAYMENT: 'Payment'>]",True,2020,0,Public Sale,public sale,0.11
AXS,Axie Infinity,gaming,"[<Blockchain.ETH: 'Ethereum'>, <Blockchain.BSC: 'Binance Smart Chain'>, <Blockchain.ONE: 'Harmony'>, <Blockchain.RONIN: 'Ronin'>]","[<Category.GOV: 'Governance'>, <Category.PAYMENT: 'Payment'>]",True,2020,0,Gaming Issuance,ecosystem incentives,0.0175
